Data_Collector,Focal_ID,Date,Time_Start,Point_Sample,Nearest_Neighbor,Focal_Number,Point_Behavior,Behavior_Tally,Ad_Libitum,Location,Contact_ID,<1_ID,<5_ID,<10_ID
Laura Angley,KJ,11/26/19,11:57:56 AM,0,EV,FS14,RV/,SGR/SGR/RV/,ZY_SGR/MY_SGR/,FL_RK/,,,,EV/MY/ZY/
Laura Angley,KJ,11/26/19,11:59:40 AM,2,EV,FS14,RV/,SGR/MBT/,ZY_SGR/MY_SGR/,FL_RK/,,,,EV/MY/ZY/
Laura Angley,KJ,11/26/19,12:02:00 PM,4,MY,FS14,RV/,,ZY_SGR/EV_SGR/,FBL_RK/,,,EV/MY/,ZY/
Laura Angley,KJ,11/26/19,12:03:41 PM,6,MY,FS14,SGR/,,EV_APA_MY/ZY_SGR/,FBL_RK/,,,EV/MY/,ZY/
Laura Angley,KJ,11/26/19,12:05:04 PM,8,EV,FS14,RV/,MBT/,ZY_SGR/,FBL_RK/,,,EV/MY/,ZY/
Laura Angley,KJ,11/26/19,12:07:12 PM,10,ZY,FS14,RV/,,ZY_SGR/,FBL_RK/,,,EV/MY/ZY/,
Laura Angley,KJ,11/26/19,12:08:54 PM,12,MY,FS14,RV/,APA_MY/,MY_APA_EV/MY_GRIA_EV/MY_GRA_EV/ZY_SGR/,FBL_RK/,,MY/,ZY/EV/,
Laura Angley,KJ,11/26/19,12:11:25 PM,14,ZY,FS14,RV/,SGR/,MY_GRA_EV/MY_GREA_EV/ZY_SGR/,FBL_RK/,,ZY/,EV/MY/,
Laura Angley,KJ,11/26/19,12:13:17 PM,16,ZY,FS14,SGR/,,EV_SC_MY/,RK/,,ZY/,EV/MY/,
Laura Angley,KJ,11/26/19,12:15:06 PM,18,ZY,FS14,SGR/,,,FBL_RK/,,ZY/,EV/MY/,
